0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26125801444330055,0.7387150836165048,0.6363636363636364,0.572139303482587,0.22042464804985,0.5053010602120425,0.1913249848515452,0.27058823529411763,0.0,0.2165607119620938,0.36619718309859156
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.864677488989027,0.22400509434117133,0.09090909090909091,0.005970149253731349,0.00754673436418186,0.7809561912382477,0.04380708723265783,0.0,0.0,0.018310846182536457,0.04225352112676056
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6815523299865336,0.07072879765891393,0.6363636363636364,0.9487562189054725,0.7239672282483268,0.25825165033006603,0.19918815503040913,0.24705882352941178,0.0,0.5838254749563888,0.7605633802816901
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.17885674269975915,0.5689368847177771,0.18181818181818182,0.9353233830845772,0.925784675744288,0.233246649329866,0.23550797818622501,0.32941176470588235,0.0,0.7409110599317273,1.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.591707003998065,0.412273725670282,0.0,0.5696517412935324,0.5993364874221093,0.9455891178235648,0.9282355977468078,0.03529411764705882,0.0,0.7108373181333908,0.971830985915493
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3760402470727331,0.27220199771063314,0.09090909090909091,0.6233830845771144,0.5670090006923609,0.4662932586517303,0.39888406382548985,0.6,0.0,0.529607106240707,0.8450704225352113
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6409191330192674,0.27792689913242086,0.8181818181818182,0.4134328358208955,0.3724498038310639,0.46049209841968397,0.3487174308220562,0.24705882352941178,0.0,0.3736538233173941,0.7464788732394366
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5937394718156415,0.2436643484459715,0.0,0.5159203980099502,0.005919686129702285,0.023004600920184037,0.0003226059830786149,0.27058823529411763,0.0,0.004168778234378162,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15643868008023176,0.5951663708586601,0.7272727272727273,0.5601990049751243,0.1381260096930533,0.8981796359271854,0.21412621468165804,0.5529411764705883,0.0,0.1637154894572142,0.22535211267605634
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7643789549960078,0.36805665268268584,0.7272727272727273,0.011442786069651711,0.12595776598199862,0.506501300260052,0.37645593482798095,0.0,0.0,0.20328835903173958,0.7323943661971831
